customer_id;store_id;first_name;last_name;email;address_id;activebool;create_date;last_update;active
103.0;1.0;R2xhZHlz;SGFtaWx0b24=;Z2xhZHlzLmhhbWlsdG9uQHNha2lsYWN1c3RvbWVyLm9yZw==;107.0;true;20060214000000;20130526000000;1.0
106.0;1.0;Q29ubmll;V2FsbGFjZQ==;Y29ubmllLndhbGxhY2VAc2FraWxhY3VzdG9tZXIub3Jn;110.0;true;20060214000000;20130526000000;1.0
153.0;2.0;U3V6YW5uZQ==;TmljaG9scw==;c3V6YW5uZS5uaWNob2xzQHNha2lsYWN1c3RvbWVyLm9yZw==;157.0;true;20060214000000;20130526000000;1.0
400.0;2.0;QnJ5YW4=;SGFyZGlzb24=;YnJ5YW4uaGFyZGlzb25Ac2FraWxhY3VzdG9tZXIub3Jn;405.0;true;20060214000000;20130526000000;1.0
76.0;2.0;SXJlbmU=;UHJpY2U=;aXJlbmUucHJpY2VAc2FraWxhY3VzdG9tZXIub3Jn;80.0;true;20060214000000;20130526000000;1.0
396.0;1.0;RWFybA==;U2hhbmtz;ZWFybC5zaGFua3NAc2FraWxhY3VzdG9tZXIub3Jn;401.0;true;20060214000000;20130526000000;1.0
139.0;1.0;QW1iZXI=;RGl4b24=;YW1iZXIuZGl4b25Ac2FraWxhY3VzdG9tZXIub3Jn;143.0;true;20060214000000;20130526000000;1.0
173.0;1.0;QXVkcmV5;UmF5;YXVkcmV5LnJheUBzYWtpbGFjdXN0b21lci5vcmc=;177.0;true;20060214000000;20130526000000;1.0
123.0;2.0;U2hhbm5vbg==;RnJlZW1hbg==;c2hhbm5vbi5mcmVlbWFuQHNha2lsYWN1c3RvbWVyLm9yZw==;127.0;true;20060214000000;20130526000000;1.0
374.0;2.0;SmVyZW15;SHVydGFkbw==;amVyZW15Lmh1cnRhZG9Ac2FraWxhY3VzdG9tZXIub3Jn;379.0;true;20060214000000;20130526000000;1.0
3.0;1.0;TGluZGE=;V2lsbGlhbXM=;bGluZGEud2lsbGlhbXNAc2FraWxhY3VzdG9tZXIub3Jn;7.0;true;20060214000000;20130526000000;1.0
307.0;2.0;Sm9zZXBo;Sm95;am9zZXBoLmpveUBzYWtpbGFjdXN0b21lci5vcmc=;312.0;true;20060214000000;20130526000000;1.0
175.0;1.0;QW5uZXR0ZQ==;T2xzb24=;YW5uZXR0ZS5vbHNvbkBzYWtpbGFjdXN0b21lci5vcmc=;179.0;true;20060214000000;20130526000000;1.0
585.0;1.0;UGVycnk=;U3dhZmZvcmQ=;cGVycnkuc3dhZmZvcmRAc2FraWxhY3VzdG9tZXIub3Jn;591.0;true;20060214000000;20130526000000;1.0
108.0;1.0;VHJhY3k=;Q29sZQ==;dHJhY3kuY29sZUBzYWtpbGFjdXN0b21lci5vcmc=;112.0;true;20060214000000;20130526000000;1.0
204.0;1.0;Um9zZW1hcnk=;U2NobWlkdA==;cm9zZW1hcnkuc2NobWlkdEBzYWtpbGFjdXN0b21lci5vcmc=;208.0;true;20060214000000;20130526000000;1.0
543.0;1.0;TGFuY2U=;UGVtYmVydG9u;bGFuY2UucGVtYmVydG9uQHNha2lsYWN1c3RvbWVyLm9yZw==;549.0;true;20060214000000;20130526000000;1.0
472.0;1.0;R3JlZw==;Um9iaW5z;Z3JlZy5yb2JpbnNAc2FraWxhY3VzdG9tZXIub3Jn;477.0;true;20060214000000;20130526000000;1.0
531.0;2.0;SmFtaWU=;V2F1Z2g=;amFtaWUud2F1Z2hAc2FraWxhY3VzdG9tZXIub3Jn;537.0;true;20060214000000;20130526000000;1.0
87.0;1.0;V2FuZGE=;UGF0dGVyc29u;d2FuZGEucGF0dGVyc29uQHNha2lsYWN1c3RvbWVyLm9yZw==;91.0;true;20060214000000;20130526000000;1.0
26.0;2.0;SmVzc2ljYQ==;SGFsbA==;amVzc2ljYS5oYWxsQHNha2lsYWN1c3RvbWVyLm9yZw==;30.0;true;20060214000000;20130526000000;1.0
522.0;2.0;QXJub2xk;SGF2ZW5z;YXJub2xkLmhhdmVuc0BzYWtpbGFjdXN0b21lci5vcmc=;528.0;true;20060214000000;20130526000000;1.0
6.0;2.0;SmVubmlmZXI=;RGF2aXM=;amVubmlmZXIuZGF2aXNAc2FraWxhY3VzdG9tZXIub3Jn;10.0;true;20060214000000;20130526000000;1.0
544.0;2.0;Q29keQ==;Tm9sZW4=;Y29keS5ub2xlbkBzYWtpbGFjdXN0b21lci5vcmc=;550.0;true;20060214000000;20130526000000;1.0
166.0;1.0;THlubg==;UGF5bmU=;bHlubi5wYXluZUBzYWtpbGFjdXN0b21lci5vcmc=;170.0;true;20060214000000;20130526000000;1.0
532.0;2.0;TmVpbA==;UmVubmVy;bmVpbC5yZW5uZXJAc2FraWxhY3VzdG9tZXIub3Jn;538.0;true;20060214000000;20130526000000;1.0
